transition_id,start_time_sec,end_time_sec,duration_sec,total_distance_m,avg_team_speed_kmh,max_speed_kmh,avg_dispersion_m
258,872.68,889.44,16.76,510.4299624803829,11.136816083191093,15.258212861333574,20.628080013356353
259,444.4,460.92,16.52,490.44581569944006,10.526535193884666,14.028953969219458,18.373650676260755
260,2254.52,2268.44,13.92,470.44757271210466,11.940189099699003,16.801437367272584,18.308123216896398
263,3890.56,3904.04,13.48,370.2482235745971,9.575657720889936,19.946681944717316,13.942985317901567
264,4687.2,4698.16,10.96,322.3096923106806,10.53047643229203,18.030625132474036,14.775268803175889
265,3161.24,3168.92,7.68,200.98808019629914,9.297478757334456,15.778856544296977,17.45982760443741
268,1371.4,1385.72,14.32,443.3440436916887,11.288192308724607,20.429299261045323,16.913587502926095
269,1875.08,1885.96,10.88,339.30801274951534,10.530125275693234,21.12177178152315,17.097777407982143
270,1291.4,1319.08,27.68,737.0644802753768,9.038247689898888,13.412296885019774,11.807326343928695
271,4131.48,4145.08,13.6,525.8681928320276,12.705790402697657,16.340550066788524,15.278761982978127
274,2998.16,3008.68,10.52,309.71741121943336,10.496155444136843,14.844198658249594,17.589193655995352
275,1583.84,1603.88,20.04,575.8901498533563,9.189247466092452,11.609828728686766,16.08910260407386
277,1115.36,1126.72,11.36,269.6417938735481,9.547839875584426,16.858870698527284,19.969739769218307
278,4646.68,4664.0,17.32,513.5790070607758,9.932607563485925,14.305101310163051,17.03665575599739
279,5791.28,5801.8,10.52,283.11903666186384,10.094626149249027,17.80529687729749,16.431033220103846
280,977.4,993.56,16.16,323.36433868751806,7.181939073947106,11.428056965933905,13.60749723781886
281,2832.0,2845.32,13.32,431.34449731785986,10.710797365828295,16.62072512639497,14.345418567510801
282,1426.56,1438.24,11.68,351.3897190040263,10.858971225031407,15.214844755101124,12.915575730484282
284,272.28,283.2,10.92,292.05297659867495,10.583309642916177,13.843549188732231,18.014246627884027
285,3840.4,3859.44,19.04,476.17474635623165,9.173681805732349,15.534960420080957,13.240123478240804
286,3900.92,3914.76,13.84,403.7256864102561,11.786494258018594,17.08404043276693,17.98455573261499
290,2531.76,2548.0,16.24,443.64102431594034,9.999651424050965,14.434859006046558,19.95174556478485
291,4737.32,4748.4,11.08,263.54048766155637,8.987171518952099,13.205738313849881,21.620361971711315
292,198.24,211.92,13.68,452.1841340638678,11.926221384706285,14.936319261528661,17.333663376088452
293,676.96,696.2,19.24,664.2746000207189,10.574216415266614,15.745102512700063,14.713459120271134
294,3463.88,3476.36,12.48,317.3319823775612,8.636447445065494,12.385683619671356,14.332532301400633
295,4793.64,4802.32,8.68,259.284081255313,9.614761284887907,11.94558065670346,12.764309268787045
296,5370.44,5385.88,15.44,384.84319107403326,8.471022269724324,13.656359740986545,16.1562087833328
297,102.44,120.92,18.48,563.637007163108,10.607098795370215,16.33481223862578,16.24540094578096
298,1933.48,1948.72,15.24,384.15003211448794,7.595305319973428,12.852123996787046,11.849613165566176
