player_id,player_name,total_distance_meters,avg_speed_kmh
9,Player 9,10944.762804665073,7.615218208266033
5,Player 5,10022.521735740655,7.0760558319718
8,Player 8,9916.317840658538,8.031315999373497
3,Player 3,7830.321496921472,6.852175118905284
1,Player 1,7204.274406186743,7.471869253998954
12,Player 12,6776.970585623496,6.682643448916101
10,Player 10,6674.199055877674,7.043247781785384
2,Player 2,6529.637394816482,7.191466162417932
11,Player 11,6262.861669463875,7.084291168991278
13,Player 13,6096.518672700174,7.104564425977455
7,Player 7,5413.657432000406,7.532188221375482
6,Player 6,4811.816371885527,7.611428936695429
14,Player 14,4439.4311974642715,7.4175132744452075
4,Player 4,4182.142483266797,7.050404153516216
16,Player 16,3322.945081563752,6.802782732447872
17,Player 17,3242.175643799773,7.054002327228524
15,Player 15,2386.5702997770886,6.635785288041672
19,Player 19,2385.410356774544,7.013311657142626
20,Player 20,2128.861678727246,3.214736582000987
18,Player 18,1930.4642557192137,6.143091706137257
